CONFERENCE | YEAR   | DECISION TYPE                                 | CATEGORY | SIZE      
TMLR       | 2023   | rejected_by_tmlr                              | Reject   | 301.24 MB 
TMLR       | 2023   | withdrawn_by_authors                          | Reject   | 28.68 MB  
TMLR       | 2024   | accepted_by_tmlr                              | Accept   | 1.32 GB   
TMLR       | 2024   | rejected_by_tmlr                              | Reject   | 561.69 MB 
TMLR       | 2024   | withdrawn_by_authors                          | Reject   | 70.86 MB  
TMLR       | 2025   | accepted_by_tmlr                              | Accept   | 1.99 GB   
TMLR       | 2025   | decision_pending_for_tmlr                     | Reject   | 282.03 MB 
TMLR       | 2025   | rejected_by_tmlr                              | Reject   | 693.72 MB 
TMLR       | 2025   | under_review_for_tmlr                         | Reject   | 690.22 MB 
TMLR       | 2025   | withdrawn_by_authors                          | Reject   | 98.11 MB  
TMLR       | 2026   | accepted_by_tmlr                              | Accept   | 242.29 MB 
TMLR       | 2026   | rejected_by_tmlr                              | Reject   | 70.16 MB  
TMLR       | 2026   | under_review_for_tmlr                         | Reject   | 227.4 MB  
TMLR       | 2026   | withdrawn_by_authors                          | Reject   | 2.07 MB   

========================================
       📊 DATASET SIZE SUMMARY       
========================================
 ✅ ACCEPTED PAPERS:    47.27 GB
 ❌ REJECTED PAPERS:     21.0 GB
----------------------------------------
 📦 TOTAL DATASET:      68.26 GB
========================================
